AÑO,TRIMESTRE,COD_DEPARTAMENTO,DEPARTAMENTO,COD_MUNICIPIO,MUNICIPIO,No. ACCESOS FIJOS A INTERNET,POBLACIÓN DANE,INDICE
2021,4,52,NARI�O,52506,OSPINA,268,7294,"0,0367"
2022,2,73,TOLIMA,73236,DOLORES,31,8558,"0,0036"
2020,4,25,CUNDINAMARCA,25769,SUBACHOQUE,1361,16364,"0,0832"
2020,3,15,BOYACA,15185,CHITARAQUE,16,5992,"0,0027"
2023,1,23,CORDOBA,23068,AYAPEL,4777,48756,"0,098"
2022,2,25,CUNDINAMARCA,25524,PANDI,365,5587,"0,0653"
2021,3,41,HUILA,41799,TELLO,91,12297,"0,0074"
2021,1,20,CESAR,20011,AGUACHICA,11694,121581,"0,0962"
2021,3,19,CAUCA,19824,TOTORO,34,25813,"0,0013"
2022,4,17,CALDAS,17088,BELALCAZAR,378,10837,"0,0349"
2022,3,85,CASANARE,85279,RECETOR,11,1552,"0,0071"
2021,2,68,SANTANDER,68121,CABRERA,11,1976,"0,0056"
2022,2,52,NARI�O,52381,LA FLORIDA,529,10366,"0,051"
2023,1,15,BOYACA,15776,SUTAMARCHAN,682,6532,"0,1044"
2022,1,76,VALLE DEL CAUCA,76890,YOTOCO,1108,16391,"0,0676"
2021,3,13,BOLIVAR,13580,REGIDOR,100,7325,"0,0137"
2021,3,73,TOLIMA,73001,IBAGUE,142745,537856,"0,2654"
2022,1,05,ANTIOQUIA,05674,SAN VICENTE,2418,23140,"0,1045"
2022,3,15,BOYACA,15180,CHISCAS,62,4114,"0,0151"
2023,1,15,BOYACA,15667,SAN LUIS DE GACENO,16,5810,"0,0028"
2023,1,68,SANTANDER,68264,ENCINO,9,2717,"0,0033"
2022,2,20,CESAR,20550,PELAYA,656,23351,"0,0281"
2020,2,70,SUCRE,70523,PALMITO,22,15272,"0,0014"
2022,1,27,CHOCO,27660,SAN JOSE DEL PALMAR,18,5500,"0,0033"
2021,1,25,CUNDINAMARCA,25339,GUTIERREZ,18,3690,"0,0049"
2022,4,19,CAUCA,19130,CAJIBIO,128,44038,"0,0029"
2022,3,76,VALLE DEL CAUCA,76403,LA VICTORIA,1407,12445,"0,1131"
2023,1,68,SANTANDER,68318,GUACA,459,6243,"0,0735"
2022,3,15,BOYACA,15162,CERINZA,173,3850,"0,0449"
2022,2,73,TOLIMA,73678,SAN LUIS,55,13405,"0,0041"
2021,2,25,CUNDINAMARCA,25841,UBAQUE,100,7271,"0,0138"
2021,2,70,SUCRE,70418,LOS PALMITOS,964,23972,"0,0402"
2022,3,19,CAUCA,19573,PUERTO TEJADA,3702,43624,"0,0849"
2020,3,23,CORDOBA,23162,CERETE,8215,109563,"0,075"
2020,4,15,BOYACA,15296,GAMEZA,43,4962,"0,0087"
2020,2,86,PUTUMAYO,86885,VILLAGARZON,329,25180,"0,0131"
2023,1,13,BOLIVAR,13670,SAN PABLO,4328,29547,"0,1465"
2022,1,15,BOYACA,15762,SORA,37,3178,"0,0116"
2020,4,85,CASANARE,85162,MONTERREY,1445,18292,"0,079"
2022,4,81,ARAUCA,81591,PUERTO RONDON,217,5088,"0,0426"
2021,4,70,SUCRE,70235,GALERAS,364,23582,"0,0154"
2020,2,73,TOLIMA,73861,VENADILLO,229,13013,"0,0176"
2020,2,97,VAUPES,97889,YAVARATE,1,1097,"0,0009"
2023,1,41,HUILA,41001,NEIVA,96140,380019,"0,253"
